id,taste,receptor_name,uniprot_id
48,odor,"OR7C1 OR7C4",O76099
49,odor,"OR6A2 OR6A1 OR6A2P",O95222
50,odor,"OR10C1 OR10C2",Q96KK4
51,odor,"OR9G1 OR9G5",Q8NH87
52,odor,"OR3A4P OR3A4 OR3A5P",P47883
53,odor,"OR10A5 OR10A1",Q9H207
54,odor,"OR1L1 OR1L2",Q8NH94
55,odor,OR2J3,O76001
56,odor,OR13F1,Q8NGS4
57,odor,"OR1J2 OR1J3 OR1J5",Q8NGS2
58,odor,"OR2D2 OR2D1",Q9H210
59,odor,"OR2C1 OR2C2P",O95371
60,odor,"CNGA2 CNCA CNCA1 CNCG2",Q16280
61,odor,GFY,I3L273
62,odor,"OR10A2 OR10A2P",Q9H208
63,odor,"OR10AD1 OR10AD1P",Q8NGE0
64,odor,OR10G4,Q8NGN3
65,odor,"OR10G9 OR10G10P",Q8NGN4
66,odor,OR10H2,O60403
67,odor,OR10H4,Q8NGA5
68,odor,"OR10J3 OR10J3P",Q5JRS4
69,odor,OR10R2,Q8NGX6
70,odor,"OR11H2 C14orf15 OR11H2P",Q8NH07
71,odor,"OR11H7 OR11H7P",Q8NGC8
72,odor,OR13C3,Q8NGS6
73,odor,OR13C8,Q8NGS7
74,odor,OR13H1,Q8NG92
75,odor,"OR14A16 OR5AT1",Q8NHC5
76,odor,"OR14J1 OR5U1",Q9UGF5
77,odor,"OR51F1 OR51F1P",A6NGY5
78,odor,OR51G2,Q8NGK0
79,odor,OR51I2,Q9H344
80,odor,OR51Q1,Q8NH59
81,odor,"OR52A4P OR52A4",A6NMU1
82,odor,OR52J3,Q8NH60
83,odor,"OR52L2P OR52L2",Q8NGH6
84,odor,OR52N5,Q8NH56
85,odor,"OR52Z1 OR52Z1P",P0C646
86,odor,"OR56A3 OR56A3P OR56A6",Q8NH54
87,odor,OR56A4,Q8NGH8
88,odor,OR5AK2,Q8NH90
89,odor,OR6C65,A6NJZ3
90,odor,"OR7E24 OR7E24P",Q6IFN5
91,odor,OR4A15,Q8NGL6
92,odor,OR4C46,A6NHA9
93,odor,"OR4F17 OR4F11P OR4F18 OR4F19",Q8NGA8
94,odor,OR51A4,Q8NGJ6
95,odor,"OR51B2 OR51B1P",Q9Y5P1
96,odor,OR51B5,Q9H339
97,odor,OR51M1,Q9H341
98,odor,OR51S1,Q8NGJ8
99,odor,"OR51V1 OR51A12",Q9H2C8
100,odor,OR52A5,Q9H2C5
101,odor,OR52B4,Q8NGK2
102,odor,"OR52E1 OR52E1P",Q8NGJ3
103,odor,OR52E4,Q8NGH9
104,odor,OR52E6,Q96RD3
105,odor,OR52H1,Q8NGJ2
106,odor,OR52K2,Q8NGK3
107,odor,"OR52M1 OR52M1P",Q8NGK5
108,odor,OR52N2,Q8NGI0
109,odor,"OR52P1P OR52P1",Q8NH57
110,odor,"OR52W1 OR52W1P",Q6IF63
111,odor,OR56A1,Q8NGH5
112,odor,"OR5AK3P OR5AK3",Q8NH89
113,odor,OR5AP2,Q8NGF4
114,odor,OR5AU1,Q8NGC0
115,odor,OR6C68,A6NDL8
116,odor,OR6C76,A6NM76
117,odor,OR11H4,Q8NGC9
118,odor,OR11H12,B2RN74
119,odor,"OR12D1 OR12D1P",P0DN82
120,odor,OR12D3,Q9UGF7
121,odor,OR13C5,Q8NGS8
122,odor,OR13C9,Q8NGT0
123,odor,"OR14A2 OR5AX1 OR5AX1P",Q96R54
124,odor,"OR14K1 OR5AY1",Q8NGZ2
125,odor,"OR2A12 OR2A12P",Q8NGT7
126,odor,"OR2A25 OR2A25P OR2A27",A4D2G3
127,odor,"OR2AK2 OR2AK1P",Q8NG84
128,odor,OR2T11,Q8NH01
129,odor,OR2T27,Q8NH04
130,odor,OR2T33,Q8NG76
131,odor,OR2L3,Q8NG85
132,odor,OR2S2,Q9NQN1
133,odor,OR2M7,Q8NG81
134,odor,OR2T3,Q8NH03
135,odor,OR4K14,Q8NGD5
136,odor,OR4M1,Q8NGD0
137,odor,OR4N4,Q8N0Y3
138,odor,"OR5A1 OR5A1P",Q8NGJ0
139,odor,"OR5B3 OR5B13",Q8NH48
140,odor,OR5B21,A6NL26
141,odor,OR5D14,Q8NGL3
142,odor,OR5F1,O95221
143,odor,OR5H6,Q8NGV6
144,odor,"OR5I1 OLF1",Q13606
145,odor,OR5K2,Q8NHB8
146,odor,OR5L2,Q8NGL0
147,odor,OR5M8,Q8NGP6
148,odor,OR5M11,Q96RB7
149,odor,"OR5W2 OR5W2P OR5W3P",Q8NH69
150,odor,OR6C1,Q96RD1
151,odor,OR6C6,A6NF89
152,odor,OR6P1,Q8NGX9
153,odor,OR10A7,Q8NGE5
154,odor,"OR10D3 OR10D3P",Q8NH80
155,odor,OR10G2,Q8NGC3
156,odor,"OR10G6 OR10G6P",Q8NH81
157,odor,OR10G8,Q8NGN5
158,odor,OR10H1,Q9Y4A9
159,odor,OR10H3,O60404
160,odor,OR10J1,P30954
161,odor,OR10K1,Q8NGX5
162,odor,OR10T2,Q8NGX3
163,odor,"OR11A1 OR11A2",Q9GZK7
164,odor,OR13A1,Q8NGR1
165,odor,"OR2AG2 OR2AG2P",A6NM03
166,odor,OR2T34,Q8NGX1
167,odor,OR56B4,Q8NH76
168,odor,"OR1E2 OR1E4",P47887
169,odor,OR1L3,Q8NH93
170,odor,OR1N2,Q8NGR9
171,odor,OR1S2,Q8NGQ3
172,odor,"OR2B8P OR2B8",P59922
173,odor,OR2F2,O95006
174,odor,OR2G6,Q5TZ20
175,odor,"OR2I1P OR2I2 OR2I3P OR2I4P",Q8NGU4
176,odor,OR2J2,O76002
177,odor,OR2L8,Q8NGY9
178,odor,"OR2M3 OR2M3P OR2M6",Q8NG83
179,odor,OR2T1,O43869
180,odor,OR2T5,Q6IEZ7
181,odor,OR2V1,Q8NHB1
182,odor,"OR2W3 OR2W3P OR2W8P",Q7Z3T1
183,odor,OR2Y1,Q8NGV0
184,odor,"OR3A1 OLFRA03",P47881
185,odor,OR6F1,Q8NGZ6
186,odor,OR6K3,Q8NGY3
187,odor,OR6N1,Q8NGY5
188,odor,OR8K1,Q8NGG5
189,odor,OR8S1,Q8NH09
190,odor,OR9A4,Q8NGU2
191,odor,"OR10J6P OR10J6",Q8NGY7
192,odor,OR10K2,Q6IF99
193,odor,OR10V1,Q8NGI7
194,odor,OR10Z1,Q8NGY1
195,odor,OR13C6P,Q8NH95
196,odor,OR13J1,Q8NGT2
197,odor,"OR2A14 OR2A14P OR2A6",Q96R47
198,odor,"OR2AG1 OR2AG3",Q9H205
199,odor,"OR2AP1 OR2AP1P",Q8NGE2
200,odor,OR2T10,Q8NGZ9
201,odor,OR2T29,Q8NH02
202,odor,OR4A16,Q8NH70
203,odor,OR4C45,A6NMZ5
204,odor,OR4F15,Q8NGB8
205,odor,OR56B2P,Q8NGI1
206,odor,OR5AC2,Q9NZP5
